,Исходники,Предсказанный класс
0,['риска развития брадикардии нарушений проводимости рекомендуется введение препарата фоне приема бета адреноблокаторов блокаторов медленных кальциевых каналов урежающих чсс верапамил дилтиазем дигоксина'],2
1,['риска развития брадикардии нарушений проводимости рекомендуется введение препарата фоне приема бета адреноблокаторов блокаторов медленных кальциевых каналов урежающих чсс верапамил дилтиазем дигоксина'],2
2,['риска развития брадикардии нарушений проводимости рекомендуется введение препарата фоне приема бета адреноблокаторов блокаторов медленных кальциевых каналов урежающих чсс верапамил дилтиазем дигоксина'],2
3,['противопоказано сочетание препарата рефралон® препаратами потенциально способными вызывать полиморфную желудочковую тахикардию типа пируэт включая антиаритмические средства класса хинидин гидрохинидин дизопирамид прокаинамид iii класса дофетилид амиодарон дронедарон ибутилид бретилия тозилат соталол'],3
4,['противопоказано сочетание препарата рефралон® препаратами потенциально способными вызывать полиморфную желудочковую тахикардию типа пируэт включая антиаритмические средства класса хинидин гидрохинидин дизопирамид прокаинамид iii класса дофетилид амиодарон дронедарон ибутилид бретилия тозилат соталол'],3
5,['противопоказано сочетание препарата рефралон® препаратами потенциально способными вызывать полиморфную желудочковую тахикардию типа пируэт включая антиаритмические средства класса хинидин гидрохинидин дизопирамид прокаинамид iii класса дофетилид амиодарон дронедарон ибутилид бретилия тозилат соталол'],3
6,['противопоказано сочетание препарата рефралон® препаратами потенциально способными вызывать полиморфную желудочковую тахикардию типа пируэт включая антиаритмические средства класса хинидин гидрохинидин дизопирамид прокаинамид iii класса дофетилид амиодарон дронедарон ибутилид бретилия тозилат соталол'],3
7,['противопоказано сочетание препарата рефралон® препаратами потенциально способными вызывать полиморфную желудочковую тахикардию типа пируэт включая антиаритмические средства класса хинидин гидрохинидин дизопирамид прокаинамид iii класса дофетилид амиодарон дронедарон ибутилид бретилия тозилат соталол'],3
8,['противопоказано сочетание препарата рефралон® препаратами потенциально способными вызывать полиморфную желудочковую тахикардию типа пируэт включая антиаритмические средства класса хинидин гидрохинидин дизопирамид прокаинамид iii класса дофетилид амиодарон дронедарон ибутилид бретилия тозилат соталол'],3
9,['противопоказано сочетание препарата рефралон® препаратами потенциально способными вызывать полиморфную желудочковую тахикардию типа пируэт включая антиаритмические средства класса хинидин гидрохинидин дизопирамид прокаинамид iii класса дофетилид амиодарон дронедарон ибутилид бретилия тозилат соталол'],3
